Iteration	Lower_Bound 	Upper_Bound	X_left	X_Right	X_Optimum	Function_at_xopt
1	0.382	1	0.618	0.763924	2.073	-3.98362
2	0.382	0.763924	0.527895	0.618	1.71889	-3.78514
3	0.527895	0.763924	0.618	0.673761	1.93773	-3.98861
4	0.618	0.763924	0.673761	0.708181	2.07289	-3.98368
5	0.618	0.708181	0.652449	0.673761	1.98927	-3.99966
6	0.652449	0.708181	0.673761	0.686891	2.04095	-3.9949
7	0.652449	0.686891	0.665606	0.673761	2.00901	-3.99976
8	0.652449	0.673761	0.66059	0.665606	1.98932	-3.99966
9	0.66059	0.673761	0.665606	0.66873	2.00153	-3.99999
10	0.66059	0.66873	0.6637	0.665606	1.99398	-3.99989
11	0.6637	0.66873	0.665606	0.666808	1.99864	-3.99999
12	0.665606	0.66873	0.666808	0.667536	2.0015	-3.99999
13	0.665606	0.667536	0.666344	0.666808	1.99971	-4
14	0.666344	0.667536	0.666808	0.667081	2.00082	-4
15	0.666344	0.667081	0.666625	0.666808	2.00014	-4
16	0.666344	0.666808	0.666521	0.666625	1.99973	-4
17	0.666521	0.666808	0.666625	0.666698	1.99999	-4
18	0.666625	0.666808	0.666698	0.666738	2.00015	-4
19	0.666625	0.666738	0.666668	0.666698	2.00005	-4
20	0.666625	0.666698	0.666653	0.666668	1.99999	-4
21	0.666653	0.666698	0.666668	0.666681	2.00003	-4
22	0.666653	0.666681	0.666664	0.666668	2	-4
