Iteration	Lower_Bound 	Upper_Bound	X_left	X_Right	X_Optimum	Function_at_xopt
1	0.4995	1	0.4995	0.5005	1.67649	-3.71989
2	0.74925	1	0.74925	0.75025	1.95572	-3.9942
3	0.874125	1	0.874125	0.875125	2.09534	-3.97187
4	0.874125	0.937562	0.936563	0.937562	2.02553	-3.99803
5	0.874125	0.906344	0.905344	0.906344	1.99062	-3.99974
6	0.889734	0.906344	0.889734	0.890734	2.00808	-3.9998
7	0.889734	0.898539	0.897539	0.898539	1.99935	-4
