Iteration	Lower_Bound 	Upper_Bound	X_left	X_Right	X_Optimum	Function_at_xopt
1	0.4995	1	0.4995	0.5005	1.67649	14.7403
2	0.74925	1	0.74925	0.75025	1.95572	14.0513
3	0.874125	1	0.874125	0.875125	2.09534	13.9354
4	0.936563	1	0.936563	0.937562	2.16514	13.9251
5	0.936563	0.968781	0.967781	0.968781	2.13024	13.9265
6	0.952172	0.968781	0.952172	0.953172	2.14769	13.9249
7	0.959977	0.968781	0.959977	0.960977	2.15642	13.9248
