Iteration,X_Value,Func_Eval,Gradient,Hessian
0,1.2,-2.592,-2.88,1.2
1,2.4,-3.456,2.88,8.4
2,2.05714,-3.99002,0.352653,6.34286
3,2.00154,-3.99999,0.00927356,6.00927
4,2,-4,7.1445e-06,6.00001
5,2,-4,4.25437e-12,6
